Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Parent,Parent summary,Status Category
Write a test for the submit button,CP2077-28,10027,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 2:53 PM,28/Mar/23 4:08 PM,07/Mar/23 3:13 PM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00013:2r,Sprint 3,,,,,10023,Testing,Done
Write a test and its report for the form fields,CP2077-27,10026,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 2:53 PM,28/Mar/23 4:08 PM,28/Mar/23 4:10 PM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00013:5k,Sprint 3,,,,,10023,Testing,Done
Write a test and its report for the button,CP2077-26,10025,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 2:52 PM,28/Mar/23 4:08 PM,28/Mar/23 4:10 PM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00013:5i,Sprint 3,,,,,10023,Testing,Done
Write a test plan for every function,CP2077-25,10024,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 2:52 PM,27/Mar/23 3:34 PM,28/Mar/23 4:10 PM,27/Mar/23 3:34 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00021:i,Sprint 3,,,,,10023,Testing,Done
Testing,CP2077-24,10023,Epic,To Do,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 2:51 PM,07/Mar/23 3:15 PM,28/Mar/23 4:10 PM,,23/Mar/23 12:00 AM,0,Tests,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i0002f:,Sprint 3,,,21/Mar/23 12:00 AM,,,,To Do
Create form fields,CP2077-23,10022,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Highest,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 2:35 PM,28/Mar/23 4:08 PM,07/Mar/23 3:23 PM,28/Mar/23 4:08 PM,,0,Code,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-13,CP2077-12,,,,,,,{},,0|i00013:4009,Sprint 2,Sprint 3,,,1.0,10005,Create a form for the user to submit all their details in,Done
Create a file upload component,CP2077-22,10021,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 1:29 PM,28/Mar/23 4:08 PM,07/Mar/23 3:23 PM,28/Mar/23 4:08 PM,,0,Code,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-5,,,,,,,,{},,0|i00013:4001,Sprint 2,Sprint 3,,,,10005,Create a form for the user to submit all their details in,Done
As a user I want the cursor and button animated like the source website,CP2077-21,10020,Story,DISCONTINUED,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Lowest,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 1:26 PM,28/Mar/23 4:09 PM,23/Mar/23 12:35 PM,,,0,FrontEnd,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-50,CP2077-51,,,,{},,0|i0000u:wv,Sprint 2,Sprint 3,,,1.0,10014,FrontEnd Tasks,In Progress
Create the form page,CP2077-20,10019,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Highest,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 1:26 PM,28/Mar/23 4:08 PM,28/Mar/23 4:10 PM,28/Mar/23 4:08 PM,,0,FrontEnd,,The base page for application page,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00013:4000i,Sprint 1,Sprint 2,Sprint 3,,,10014,FrontEnd Tasks,Done
Create the completion page,CP2077-19,10018,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 1:26 PM,28/Mar/23 4:08 PM,07/Mar/23 3:02 PM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00013:40009,Sprint 1,Sprint 2,Sprint 3,,,10014,FrontEnd Tasks,Done
As a user I want to be able to have a rough idea of what to expect after submitting my application,CP2077-18,10017,Story,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,High,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 1:25 PM,28/Mar/23 4:08 PM,27/Mar/23 11:10 AM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00013:4,Sprint 2,Sprint 3,,,,10014,FrontEnd Tasks,Done
Create the button component,CP2077-17,10016,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 1:25 PM,28/Mar/23 4:08 PM,07/Mar/23 3:24 PM,28/Mar/23 4:08 PM,,0,,,Create a reusable react component that can be reused across the project.,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00013:400i,Sprint 2,Sprint 3,,,,10014,FrontEnd Tasks,Done
Create the landing page,CP2077-16,10015,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Highest,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 1:25 PM,28/Mar/23 4:08 PM,23/Mar/23 12:33 PM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-37,CP2077-35,CP2077-36,,,,,,{},,0|i00013:40i,Sprint 1,Sprint 2,Sprint 3,,,10014,FrontEnd Tasks,Done
FrontEnd Tasks,CP2077-15,10014,Epic,To Do,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 1:22 PM,21/Mar/23 9:30 AM,07/Mar/23 3:03 PM,,15/Mar/23 12:00 AM,0,FrontEnd,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i0000u:y,Sprint 2,Sprint 3,,09/Mar/23 12:00 AM,,,,To Do
"As a user I want to be able to upload my ""Solicitatie Brief"" alongside my application",CP2077-14,10013,Story,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,High,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 1:21 PM,28/Mar/23 4:08 PM,27/Mar/23 11:46 AM,28/Mar/23 4:08 PM,,0,FormField,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00013:404,Sprint 2,Sprint 3,,,,10005,Create a form for the user to submit all their details in,Done
As a user I want to be able to link my professional websites,CP2077-13,10012,Story,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,High,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 1:20 PM,28/Mar/23 4:08 PM,27/Mar/23 11:10 AM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-23,,,,,{},,0|i00013:402,Sprint 2,Sprint 3,,,,10005,Create a form for the user to submit all their details in,Done
As a user I want to be able to input my basic personal information,CP2077-12,10011,Story,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Highest,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 1:20 PM,28/Mar/23 4:08 PM,27/Mar/23 11:45 AM,28/Mar/23 4:08 PM,,0,FormField,,I want to be able to input all of my required data for the job application on the website. As a user I am expecting input fields that can take multiple forms of input depending on the data that is requred,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-23,,,,,{},,0|i00013:4i,Sprint 2,Sprint 3,,,,10005,Create a form for the user to submit all their details in,Done
Create a privacy policy statement ,CP2077-11,10010,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 1:18 PM,21/Mar/23 10:43 AM,28/Mar/23 4:10 PM,21/Mar/23 10:43 AM,,0,,,Create a privacy policy statement in regards of all of user's personal data and how it will be handled.,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-10,,07/Mar/23 1:18 PM;63fa6fbe4e86f362d39c67f9;image-2023-03-07-13-18-36-271.png;https://xr-vision.atlassian.net/secure/attachment/10009/image-2023-03-07-13-18-36-271.png,,,{},,0|i0001z:,Sprint 3,,,,,10009,Create Security Measures to handle sensitive data,Done
Create Security Measures to handle sensitive data,CP2077-10,10009,Epic,To Do,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 1:14 PM,07/Mar/23 3:16 PM,28/Mar/23 4:10 PM,,24/Mar/23 12:00 AM,0,Security,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-11,,,,,,,,{},,0|i0001r:,Sprint 3,,,23/Mar/23 12:00 AM,,,,To Do
Create the desktop design for the website,CP2077-9,10008,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 12:38 PM,20/Mar/23 9:43 AM,27/Mar/23 11:35 AM,13/Mar/23 4:51 PM,,0,Design,,"The app is mobile first, but still requires a design made for desktop for a universal experience.",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-7,,20/Mar/23 9:43 AM;63fa6fbe4e86f362d39c67f9;image-20230320-084321.png;https://xr-vision.atlassian.net/secure/attachment/10011/image-20230320-084321.png,,,{},,0|i00013:,Sprint 1,Sprint 2,,,2.0,10006,Create the website design,Done
Create the mobile design for the website,CP2077-8,10007,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 12:07 PM,08/Mar/23 5:02 PM,27/Mar/23 11:35 AM,08/Mar/23 5:02 PM,,0,Design,,"The website is mobile first, hence the design must be ready before any development process begins.",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-7,,07/Mar/23 12:07 PM;63fa6fbe4e86f362d39c67f9;image-20230307-110701.png;https://xr-vision.atlassian.net/secure/attachment/10007/image-20230307-110701.png,,,{},,0|i00006:,Sprint 1,,,,2.0,10006,Create the website design,Done
Create the website design,CP2077-7,10006,Epic,To Do,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 11:52 AM,21/Mar/23 9:30 AM,28/Mar/23 4:10 PM,,08/Mar/23 12:00 AM,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-8,CP2077-9,,,,,,,{},,0|i0000u:x,Sprint 1,Sprint 2,Sprint 3,07/Mar/23 12:00 AM,,,,To Do
Create a form for the user to submit all their details in,CP2077-6,10005,Epic,To Do,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 11:51 AM,21/Mar/23 9:30 AM,07/Mar/23 3:02 PM,,17/Mar/23 12:00 AM,0,FormField,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i0000u:xi,Sprint 2,Sprint 3,,14/Mar/23 12:00 AM,,,,To Do
As a user I want to be able to upload my CV ,CP2077-5,10004,Story,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 11:50 AM,28/Mar/23 4:08 PM,28/Mar/23 4:10 PM,28/Mar/23 4:08 PM,,0,FormField,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-22,,07/Mar/23 11:50 AM;63fa6fbe4e86f362d39c67f9;image-20230307-105018.png;https://xr-vision.atlassian.net/secure/attachment/10006/image-20230307-105018.png,,,{},,0|i00013:4002,Sprint 2,Sprint 3,,,3.0,10005,Create a form for the user to submit all their details in,Done
Create an activity diagram in context of kickoff meeting.,CP2077-4,10003,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 11:41 AM,07/Mar/23 11:42 AM,28/Mar/23 4:10 PM,07/Mar/23 11:42 AM,,0,,,"Activity diagrams are graphical representations of workflows of stepwise activities and actions with support for choice, iteration and concurrency.",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-3,,07/Mar/23 11:41 AM;63fa6fbe4e86f362d39c67f9;activity diagram.pdf;https://xr-vision.atlassian.net/secure/attachment/10005/activity+diagram.pdf,,,{},,0|i00003:,Sprint 1,,,,1.0,10002,Create UML diagrams for the project in the context of the kick off meeting.,Done
Create UML diagrams for the project in the context of the kick off meeting.,CP2077-3,10002,Epic,In Progress,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 11:31 AM,07/Mar/23 3:14 PM,28/Mar/23 4:10 PM,,10/Mar/23 12:00 AM,0,,,"A UML diagram is a diagram based on the UML (Unified Modeling Language) with the purpose of visually representing a system along with its main actors, roles, actions, artifacts or classes, in order to better understand, alter, maintain, or document information about the system.",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-4,,,CP2077-1,,07/Mar/23 11:31 AM;63fa6fbe4e86f362d39c67f9;USE case.pdf;https://xr-vision.atlassian.net/secure/attachment/10003/USE+case.pdf,07/Mar/23 11:31 AM;63fa6fbe4e86f362d39c67f9;activity diagram.pdf;https://xr-vision.atlassian.net/secure/attachment/10002/activity+diagram.pdf,07/Mar/23 11:31 AM;63fa6fbe4e86f362d39c67f9;sequence.pdf;https://xr-vision.atlassian.net/secure/attachment/10004/sequence.pdf,{},purple,0|i0000f:,,,,06/Mar/23 12:00 AM,,,,In Progress
Creating a sequence diagram in context of kickoff meeting.,CP2077-2,10001,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 11:30 AM,07/Mar/23 2:32 PM,27/Mar/23 9:58 AM,07/Mar/23 11:30 AM,,0,,,A sequence diagram or system sequence diagram shows process interactions arranged in time sequence in the field of software engineering. It depicts the processes involved and the sequence of messages exchanged between the processes needed to carry out the functionality.,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,07/Mar/23 11:30 AM;63fa6fbe4e86f362d39c67f9;sequence.pdf;https://xr-vision.atlassian.net/secure/attachment/10001/sequence.pdf,,,{},,0|hzzzzr:,Sprint 1,,,,1.0,10002,Create UML diagrams for the project in the context of the kick off meeting.,Done
Creating a USE CASE diagram in context of kickoff meeting.,CP2077-1,10000,Task,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,07/Mar/23 11:23 AM,07/Mar/23 11:59 AM,27/Mar/23 11:46 AM,07/Mar/23 11:26 AM,,0,,,A use case diagram is a graphical depiction of a user's possible interactions with a system. A use case diagram shows various use cases and different types of users the system has and will often be accompanied by other types of diagrams as well. The use cases are represented by either circles or ellipses.,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-3,,,,,07/Mar/23 11:23 AM;63fa6fbe4e86f362d39c67f9;USE case.pdf;https://xr-vision.atlassian.net/secure/attachment/10000/USE+case.pdf,,,{},,0|hzzzzz:,Sprint 1,,,,1.0,10002,Create UML diagrams for the project in the context of the kick off meeting.,Done
